,close,open,high,low,volume,adj_close
2020-01-02,96.61710318914537,100.2132471048511,100.77805129673531,96.32760153941058,4308106,96.61710318914537
2020-01-03,100.60583052810657,96.72019486805547,101.8781447987723,96.52815706661002,3519495,100.60583052810657
2020-01-04,97.15814261192226,101.3162014966077,102.54097954882536,96.61121567447155,2276611,97.15814261192226
2020-01-05,97.1276028678786,97.39946801406106,97.44571022739629,96.74580178786557,2980829,97.1276028678786
2020-01-06,96.49129445502889,97.05123786159602,97.66352970592591,96.29099611858489,682496,96.49129445502889
2020-01-07,92.69126645383939,96.28978341930654,97.68109656958559,92.58071414728637,4436591,92.69126645383939
2020-01-08,93.16676950273316,91.98982020017243,94.33079401410116,90.82194651006074,2536654,93.16676950273316
2020-01-09,92.2933915340505,93.23604937940003,93.42870206175446,91.7608437378861,1231542,92.2933915340505
2020-01-10,97.77348654386488,92.26489500323342,97.95012517802408,91.56223759801382,2115108,97.77348654386488
2020-01-11,97.14593599990083,98.75877462323947,99.03202461623431,96.4349029815385,7588935,97.14593599990083
2020-01-12,93.08538663855339,96.70125132727078,97.28649580007034,91.74111620760654,2133695,93.08538663855339
2020-01-13,94.18252091072684,92.88306823099292,94.86549833333049,92.47314833623068,4524696,94.18252091072684
2020-01-14,98.65612231796548,94.09568865636098,98.96447308367945,93.6177283931415,3586786,98.65612231796548
2020-01-15,106.40049868622269,98.8361880187471,107.51479313863086,98.45906806023449,3782799,106.40049868622269
2020-01-16,105.02826872407034,107.00924647250704,109.57305702147974,104.51424080164556,3564651,105.02826872407034
2020-01-17,102.69642591711387,105.72130288503041,106.68955730415361,102.25983644286563,5219165,102.69642591711387
2020-01-18,108.4246338952501,102.76678359756292,109.28055569628944,101.92865947056063,1529051,108.4246338952501
2020-01-19,101.68532691888353,109.07043310408925,109.15694839157534,100.89360701485431,2025392,101.68532691888353
2020-01-20,104.77022328690677,101.92623016114335,105.10937435492531,100.88189770558749,2182012,104.77022328690677
2020-01-21,111.45223331034589,103.85079334416486,111.73628659889623,103.73044192727276,2681268,111.45223331034589
2020-01-22,110.76666061447766,111.4559828180964,111.63277680424176,109.84181132965917,1628058,110.76666061447766
2020-01-23,109.29791293396417,111.11935200738952,112.65293103726735,108.44063626486565,2356791,109.29791293396417
2020-01-24,112.1869560646352,110.15674486863279,113.75213983994193,109.37999039819923,3190110,112.1869560646352
2020-01-25,109.2132532270794,112.42310941188092,114.27775090721909,107.20277720194113,4049312,109.2132532270794
